age,gender,marital_status,employment_status,number_of_dependants,residence_type,years_at_current_address,city,state,zipcode,loan_purpose,loan_type,loan_tenure_months,bank_balance_at_application,number_of_open_accounts,number_of_closed_accounts,enquiry_count,credit_utilization_ratio,loan_to_income,delinquency_ratio,avg_dpd_per_delinquency
0.7884615384615384,M,Married,Self-Employed,0.6000000000000001,Owned,0.9666666666666667,Hyderabad,Telangana,0.6610169491525424,Home,Secured,0.41509433962264153,0.6133858627856503,1.0,1.0,0.375,0.36363636363636365,0.4145199063231849,0.132,0.5900000000000001
0.5000000000000001,F,Single,Salaried,0.0,Owned,0.8666666666666667,Mumbai,Maharashtra,0.4915254237288136,Education,Secured,0.8301886792452831,0.025204580727685458,0.6666666666666667,0.5,0.5,0.05050505050505051,0.30679156908665106,0.062000000000000006,0.6200000000000001
0.3846153846153847,M,Single,Salaried,0.0,Mortgage,0.8333333333333334,Chennai,Tamil Nadu,0.8305084745762713,Home,Secured,0.49056603773584906,0.17431803443058003,0.0,0.5,0.375,0.0,0.7587822014051522,0.222,0.5599999999999999
0.46153846153846156,M,Married,Salaried,0.4,Mortgage,0.9666666666666667,Bangalore,Karnataka,0.7627118644067797,Education,Secured,0.6415094339622641,0.07752271940973228,0.6666666666666667,0.0,0.875,0.8787878787878789,0.19437939110070254,0.0,0.0
0.7692307692307693,M,Married,Self-Employed,0.8,Owned,0.9333333333333333,Pune,Maharashtra,0.5101694915254238,Personal,Unsecured,0.16981132075471697,0.07227130728784188,0.0,1.0,0.0,0.7171717171717172,0.046838407494145196,0.0,0.0
0.2692307692307693,F,Married,Salaried,0.8,Owned,0.8666666666666667,Hyderabad,Telangana,0.6610169491525424,Home,Secured,0.7735849056603773,0.08051023938487546,0.6666666666666667,1.0,0.75,0.18181818181818182,0.5620608899297425,0.019,0.8
0.3653846153846154,M,Married,Self-Employed,0.6000000000000001,Owned,0.8333333333333334,Pune,Maharashtra,0.5101694915254238,Home,Secured,0.7358490566037735,0.389729544099137,0.0,1.0,0.625,0.393939393939394,0.5784543325526932,0.0,0.0
0.11538461538461542,F,Single,Self-Employed,0.0,Rented,0.5666666666666667,Kolkata,West Bengal,1.0,Auto,Secured,0.26415094339622636,0.1108884269118007,0.3333333333333333,0.5,0.125,0.11111111111111112,0.20608899297423885,0.643,0.58
0.42307692307692313,M,Married,Self-Employed,0.6000000000000001,Owned,0.26666666666666666,Ahmedabad,Gujarat,0.4576271186440678,Personal,Unsecured,0.3018867924528301,0.0630524625065221,1.0,0.5,0.5,0.4646464646464647,0.07728337236533958,0.0,0.0
0.46153846153846156,F,Married,Self-Employed,0.6000000000000001,Mortgage,0.3666666666666667,Ahmedabad,Gujarat,0.4576271186440678,Personal,Unsecured,0.22641509433962262,0.11951140301521816,1.0,0.5,0.75,0.98989898989899,0.07728337236533958,0.0,0.0
0.28846153846153855,M,Married,Self-Employed,0.6000000000000001,Owned,0.26666666666666666,Pune,Maharashtra,0.5101694915254238,Auto,Secured,0.5283018867924528,0.0028354865860557533,0.6666666666666667,0.5,0.75,0.393939393939394,0.19906323185011707,0.0,0.0
0.42307692307692313,M,Married,Self-Employed,0.6000000000000001,Rented,0.5666666666666667,Delhi,Delhi,0.0,Auto,Secured,0.39622641509433965,0.024179824581576005,1.0,0.5,0.375,0.09090909090909091,0.1967213114754098,0.0,0.0
